X,Y,FAIRMARKETBUILDING__asmt,PROPERTYZIP__asmt,FAIRMARKETLAND__asmt,SALECODE__asmt,LEGAL1__asmt,PROPERTYFRACTION__asmt,PIN,NEIGHDESC__asmt,LOCALLAND__asmt,PROPERTYADDRESS__asmt,CLASSDESC__asmt,LEGAL2__asmt,COUNTYBUILDING__asmt,PROPERTYHOUSENUM__asmt,PROPERTYUNIT__asmt,FAIRMARKETTOTAL__asmt,LOTAREA__asmt,SALEDATE__asmt,LEGAL3__asmt,PROPERTYCITY__asmt,NEIGHCODE__asmt,LOCALTOTAL__asmt,SALEPRICE__asmt,COUNTYLAND__asmt,PROPERTYSTATE__asmt,LOCALBUILDING__asmt,USEDESC__asmt,COUNTYTOTAL__asmt,MUNIDESC__asmt
-80.0481853604008,40.4391911876365,0,15220,5000,GV,NEVIN PL PLAN 76-92 1/2 INCL LOT 453.29X105 IN , ,0019E00151000000,12802,5000,NEVA ST,RESIDENTIAL,ALL NEVA ST                                    ,0,0, ,5000,47611,10-19-2018,,PITTSBURGH,12802,5000,16006,5000,PA,0,VACANT LAND,5000,28th Ward - PITTSBURGH
-79.9871677826583,40.4730656133948,0,15212,17500,2,1 A LD SPRING GARDEN AVE                       , ,0078R00061000000,WARD 26 - NORTHVIEW HEIGHTS,17500,SPRING GARDEN AVE,RESIDENTIAL,,0,2513, ,17500,43560,01-18-2008,,PITTSBURGH,12603,17500,12810,17500,PA,0,VACANT LAND,17500,26th Ward - PITTSBURGH
-79.9283686727279,40.3826596938583,0,15207,15900,N,PT LOT 1 = 26.31X174.86X332.56X138.18X138.09X100X39.17X15.70, ,0134B00316000000,13103,15900,IRWIN ST,RESIDENTIAL,PT LOT 2 = 30X172.87X30.07X174.86,0,0, ,15900,47437,06-22-1950,,PITTSBURGH,13103,15900,0,15900,PA,0,VACANT LAND,15900,31st Ward - PITTSBURGH
-79.9315809056822,40.3773128284257,0,15207,165500,H,LA VILLE PLAN NO 2, ,0134N00001000000,13103,165500,LAVILLE AVE,RESIDENTIAL,PARCEL A1 = 589.7 FRONTING WITH 22 TOTAL BEARINGS,0,0, ,165500,3213422,05-25-2017,,PITTSBURGH,13103,165500,105000,165500,PA,0,VACANT LAND,165500,31st Ward - PITTSBURGH
-79.9047003983091,40.3670825601116,0,15207,16000,3,GASIOROWSKI CONSOLIDATION PLAN, ,0184R00193000000,13102,16000,MCELHINNY AVE,RESIDENTIAL,LOT 1 = 160X303.95X160X303.95,0,0, ,16000,48630,07-20-2016,,PITTSBURGH,13102,16000,1,16000,PA,0,VACANT LAND,16000,31st Ward - PITTSBURGH
-80.0592933901709,40.4621023556488,0,15204,51600,3,(5.70 A LD) STANHOPE ST (1 A LD) SUBJECT TO, ,0042B00020000000,12004,51600,STAFFORD ST,RESIDENTIAL,GAS EASEMENT,0,3379, ,51600,248292,02-28-2003,,PITTSBURGH,12004,51600,1,51600,PA,0,VACANT LAND,51600,20th Ward - PITTSBURGH
-79.9038106987935,40.4699864397013,0,15206,13400,H,DEAN PARK REV PLAN PT UN# PARCEL & PT VAC HELEN, ,0124C00218000000,11202,13400,NELSON ST,RESIDENTIAL,ST IRREG LOT 2.451 A LD NELSON ST COR OLDSMAR S,0,0, ,13400,106766,11-06-2002,,PITTSBURGH,11202,13400,200000,13400,PA,0,VACANT LAND,13400,12th Ward - PITTSBURGH
-79.9409258880303,40.378974524402,0,15236,24700,H,256 & 258 DUPLEX & 260 REVO ROAD PLAN, ,0135L00145000000,BALDWIN BOROUGH,24700,REVO RD,RESIDENTIAL,PARCEL 'A' = 941.667X77.507X1224.896,0,0, ,24700,132536,10-11-2018,,PITTSBURGH,87701,24700,42500,24700,PA,0,VACANT LAND,24700,Baldwin Boro  
-79.9336054828082,40.3790604758993,0,15207,20300,3,LOT 164.4X429.39X279.29 RR RAILSIDE ST         , ,0135M00138000000,13103,20300,RAILSIDE ST,RESIDENTIAL,,0,0, ,20300,95396,08-19-1991,,PITTSBURGH,13103,20300,1,20300,PA,0,VACANT LAND,20300,31st Ward - PITTSBURGH
-80.0479089775923,40.4857800665163,0,15202,23000,H,3.5 A LAND GITTENS ST NEAR JACKS RUN RD, ,0114J00250000000,WARD 27,23000,GITTENS ST,RESIDENTIAL,,0,0, ,23000,152460,07-13-2011,,PITTSBURGH,12701,23000,91970,23000,PA,0,VACANT LAND,23000,27th Ward - PITTSBURGH
